# tiempo (s), tension (V)
0.000000000000000000e+00,8.639460351245594749e-01,8.728277633295572491e-01
3.199999999999999855e-05,8.743080513738278325e-01,8.833542561520236758e-01
6.399999999999999710e-05,8.846700677652175049e-01,8.930583668540102993e-01
9.600000000000000243e-05,8.940452255765799494e-01,9.029269541392476173e-01
1.279999999999999942e-04,9.037493364190122280e-01,9.114797298941977877e-01
1.599999999999999860e-04,9.126310650996770635e-01,9.206904115895188090e-01
1.920000000000000049e-04,9.216772703495927921e-01,9.289142346318244314e-01
2.239999999999999966e-04,9.299010934032878595e-01,9.369735813057342710e-01
2.559999999999999884e-04,9.377959636245766228e-01,9.445394986754637179e-01
2.880000000000000073e-04,9.456908339345558856e-01,9.517764631928486985e-01
3.199999999999999720e-04,9.527633219965235822e-01,9.590134277859034828e-01
3.519999999999999908e-04,9.598358101308377410e-01,9.650990571617948932e-01
3.840000000000000097e-04,9.659214395140436338e-01,9.715136395356905874e-01
4.159999999999999744e-04,9.721715454236189435e-01,9.769413631302426015e-01
4.479999999999999933e-04,9.779282219703059331e-01,9.825335632430907129e-01
4.799999999999999580e-04,9.830269926670501812e-01,9.869744280718331098e-01
5.119999999999999768e-04,9.879612869266768405e-01,9.920731988376150223e-01
5.439999999999999957e-04,9.924021517915899704e-01,9.963495872520365948e-01
5.760000000000000146e-04,9.970074931644027361e-01,9.999680697781752059e-01
6.079999999999999251e-04,1.000297022736082564e+00,1.003257599364662411e+00
6.399999999999999439e-04,1.003751028804057865e+00,1.006218176006611564e+00
6.719999999999999628e-04,1.006547128967655302e+00,1.008520846737396948e+00
7.039999999999999817e-04,1.008849799699601091e+00,1.010659040994692059e+00
7.360000000000000006e-04,1.011152470439680595e+00,1.012632758776893294e+00
7.680000000000000195e-04,1.012797235259013995e+00,1.013948570635025970e+00
7.999999999999999299e-04,1.013948570635025970e+00,1.014770953047714697e+00
8.319999999999999488e-04,1.014770953047714697e+00,1.015428858978617122e+00
8.639999999999999677e-04,1.015593335461447033e+00,1.015264382495828732e+00
8.959999999999999866e-04,1.015264382495828732e+00,1.015264382495828732e+00
9.280000000000000054e-04,1.014935429530377631e+00,1.014277523599976361e+00
9.599999999999999159e-04,1.013784094152613724e+00,1.013290664705626343e+00
9.920000000000000432e-04,1.012797235259013995e+00,1.011316946921426707e+00
1.023999999999999954e-03,1.010987993957976228e+00,1.009507705624507201e+00
1.055999999999999864e-03,1.009178752661971101e+00,1.007040558409531217e+00
1.087999999999999991e-03,1.006711605448239233e+00,1.004244458243824578e+00
1.119999999999999902e-03,1.003915505283938803e+00,1.001283881610792958e+00
1.152000000000000029e-03,1.000625975694154901e+00,9.975009225991079420e-01
1.183999999999999940e-03,9.973364461208318321e-01,9.937179636091225676e-01
1.215999999999999850e-03,9.932245341772416580e-01,9.892770987354099210e-01
1.247999999999999977e-03,9.887836693068300375e-01,9.845072809411110626e-01
1.279999999999999888e-03,9.838493750411240191e-01,9.792440337593082411e-01
1.312000000000000015e-03,9.785861278644852890e-01,9.734873572013936771e-01
1.343999999999999926e-03,9.726649748399847084e-01,9.677306806924843574e-01
1.375999999999999836e-03,9.669082983380518082e-01,9.611516218847830917e-01
1.407999999999999963e-03,9.603292395382713176e-01,9.545725631402536271e-01
1.439999999999999874e-03,9.537501808016070060e-01,9.475000750598313592e-01
1.472000000000000001e-03,9.466776927295776911e-01,9.399341576580730884e-01
1.503999999999999912e-03,9.387828224084580064e-01,9.320392874128400340e-01
1.536000000000000039e-03,9.312169051007095355e-01,9.239799407950612942e-01
1.567999999999999949e-03,9.226641291110277976e-01,9.154271648920528914e-01
1.599999999999999860e-03,9.144403061405653732e-01,9.063809597204881552e-01
1.631999999999999987e-03,9.050651480685626415e-01,8.968413252976955574e-01
1.663999999999999898e-03,8.955255136629080015e-01,8.871372145462109726e-01
1.696000000000000025e-03,8.859858793807310340e-01,8.769396745708069041e-01
1.727999999999999935e-03,8.757883394209986516e-01,8.665776582856090648e-01
1.759999999999999846e-03,8.654263231515338939e-01,8.558866892500490708e-01
1.791999999999999973e-03,8.544064012414485099e-01,8.447022910327534051e-01
1.823999999999999884e-03,8.432220030454262716e-01,8.331889400935927892e-01
1.856000000000000011e-03,8.317086521278621580e-01,8.215111128829601927e-01
1.887999999999999921e-03,8.198663485007511298e-01,8.093398565336551442e-01
1.919999999999999832e-03,8.080240450473265001e-01,7.968396474984541511e-01
1.951999999999999959e-03,7.951948831657709160e-01,7.841749622201839021e-01
1.984000000000000086e-03,7.825301979123158169e-01,7.711813242746627939e-01
2.015999999999999997e-03,7.693720835637143374e-01,7.576942572475897641e-01
2.047999999999999907e-03,7.560494929902742411e-01,7.438782375814171344e-01
2.079999999999999818e-03,7.420689969267615371e-01,7.298977417081826680e-01
2.111999999999999728e-03,7.279240246611086151e-01,7.155882932130350760e-01
2.144000000000000072e-03,7.137790526144817127e-01,7.009498921067320865e-01
2.175999999999999983e-03,6.991406515363194352e-01,6.859825383997341097e-01
2.207999999999999893e-03,6.843377742702617672e-01,6.710151849232751653e-01
2.239999999999999804e-03,6.690414679982512602e-01,6.557188788558946380e-01
2.271999999999999714e-03,6.535806855530748027e-01,6.399291438014143019e-01
2.304000000000000058e-03,6.377909505312669980e-01,6.239749325824469617e-01
2.335999999999999969e-03,6.221656921500319237e-01,6.076917687994407569e-01
2.367999999999999879e-03,6.057180519937274132e-01,5.910796524604124969e-01
2.399999999999999790e-03,5.891059356839493111e-01,5.746320127602354555e-01
2.431999999999999700e-03,5.726582960118935528e-01,5.576909441107734677e-01
