,frecuencia (Hz),amplitud enviada (num),amplitud leida (num),leida/enviada
1,1.0,0.060393985360860825,0.0098876953125,0.16371986802029892
2,1.0,0.3019699156284332,0.052581787109375,0.17412922409819007
3,1.0,0.6039398312568665,0.11627197265625,0.19252244451947306
4,1.0,0.9059097766876221,0.184173583984375,0.20330234723571391
5,1.0,1.207879662513733,0.240386962890625,0.19901565557478862
6,1.0,1.5098495483398438,0.319549560546875,0.21164331300309755
7,1.0,1.8118195533752441,0.280609130859375,0.15487697455115074
8,3.5789473684210527,0.10000000149011612,0.01104736328125,0.11047363116631462
9,3.5789473684210527,0.5,0.128143310546875,0.25628662109375
10,3.5789473684210527,1.0,0.248931884765625,0.248931884765625
11,3.5789473684210527,1.5,0.392333984375,0.2615559895833333
12,3.5789473684210527,2.0,0.49359130859375,0.246795654296875
13,3.5789473684210527,2.5,0.979400634765625,0.39176025390625
14,3.5789473684210527,3.0,0.54449462890625,0.18149820963541666
15,6.157894736842105,0.10000000149011612,0.028350830078125,0.28350829655664717
16,6.157894736842105,0.5,0.149078369140625,0.29815673828125
17,6.157894736842105,1.0,0.27227783203125,0.27227783203125
18,6.157894736842105,1.5,0.4476318359375,0.2984212239583333
19,6.157894736842105,2.0,0.548187255859375,0.2740936279296875
20,6.157894736842105,2.5,1.8482666015625,0.739306640625
21,6.157894736842105,3.0,0.58514404296875,0.19504801432291666
22,8.736842105263158,0.10000000149011612,0.050048828125,0.5004882737921436
23,8.736842105263158,0.5,0.2257080078125,0.451416015625
24,8.736842105263158,1.0,0.53253173828125,0.53253173828125
25,8.736842105263158,1.5,0.67889404296875,0.4525960286458333
26,8.736842105263158,2.0,0.99566650390625,0.497833251953125
27,8.736842105263158,2.5,1.195648193359375,0.47825927734375
28,8.736842105263158,3.0,1.252227783203125,0.4174092610677083
29,11.31578947368421,0.10000000149011612,0.06329345703125,0.63293456088104
30,11.31578947368421,0.5,0.294830322265625,0.58966064453125
31,11.31578947368421,1.0,0.586334228515625,0.586334228515625
32,11.31578947368421,1.5,0.886749267578125,0.5911661783854166
33,11.31578947368421,2.0,0.997314453125,0.4986572265625
34,11.31578947368421,2.5,1.999969482421875,0.79998779296875
35,11.31578947368421,3.0,1.912109375,0.6373697916666666
36,13.894736842105264,0.10000000149011612,0.058807373046875,0.5880737217057687
37,13.894736842105264,0.5,0.295440673828125,0.59088134765625
38,13.894736842105264,1.0,0.59454345703125,0.59454345703125
39,13.894736842105264,1.5,0.88299560546875,0.5886637369791666
40,13.894736842105264,2.0,0.9910888671875,0.49554443359375
41,13.894736842105264,2.5,1.9991455078125,0.799658203125
42,13.894736842105264,3.0,1.934661865234375,0.6448872884114584
43,16.473684210526315,0.10000000149011612,0.06298828125,0.6298828031140148
44,16.473684210526315,0.5,0.398834228515625,0.79766845703125
45,16.473684210526315,1.0,0.608551025390625,0.608551025390625
46,16.473684210526315,1.5,1.185455322265625,0.7903035481770834
47,16.473684210526315,2.0,0.994354248046875,0.4971771240234375
48,16.473684210526315,2.5,1.999969482421875,0.79998779296875
49,16.473684210526315,3.0,1.9478759765625,0.6492919921875
50,19.05263157894737,0.10000000149011612,0.05242919921875,0.5242919843749406
51,19.05263157894737,0.5,0.463623046875,0.92724609375
52,19.05263157894737,1.0,0.49737548828125,0.49737548828125
53,19.05263157894737,1.5,1.3895263671875,0.9263509114583334
54,19.05263157894737,2.0,0.951446533203125,0.4757232666015625
55,19.05263157894737,2.5,1.962982177734375,0.78519287109375
56,19.05263157894737,3.0,1.999969482421875,0.666656494140625
57,21.63157894736842,0.10000000149011612,0.072784423828125,0.7278442274355258
58,21.63157894736842,0.5,0.357086181640625,0.71417236328125
59,21.63157894736842,1.0,0.70404052734375,0.70404052734375
60,21.63157894736842,1.5,1.031005859375,0.6873372395833334
61,21.63157894736842,2.0,1.41455078125,0.707275390625
62,21.63157894736842,2.5,1.999969482421875,0.79998779296875
63,21.63157894736842,3.0,1.984375,0.6614583333333334
64,24.210526315789473,0.10000000149011612,0.101165771484375,1.0116576997688755
65,24.210526315789473,0.5,0.254486083984375,0.50897216796875
66,24.210526315789473,1.0,1.009002685546875,1.009002685546875
67,24.210526315789473,1.5,0.742584228515625,0.49505615234375
68,24.210526315789473,2.0,1.8665771484375,0.93328857421875
69,24.210526315789473,2.5,1.999969482421875,0.79998779296875
70,24.210526315789473,3.0,1.999969482421875,0.666656494140625
71,26.789473684210527,0.09999999403953552,0.0897216796875,0.8972168503532917
72,26.789473684210527,0.5,0.374237060546875,0.74847412109375
73,26.789473684210527,1.0,0.9451904296875,0.9451904296875
74,26.789473684210527,1.5,1.042266845703125,0.6948445638020834
75,26.789473684210527,2.0,1.803070068359375,0.9015350341796875
76,26.789473684210527,2.5,1.999969482421875,0.79998779296875
77,26.789473684210527,3.0,1.97705078125,0.6590169270833334
78,29.36842105263158,0.10000000149011612,0.083709716796875,0.8370971554950304
79,29.36842105263158,0.5,0.52740478515625,1.0548095703125
80,29.36842105263158,1.0,0.817138671875,0.817138671875
81,29.36842105263158,1.5,1.5701904296875,1.0467936197916667
82,29.36842105263158,2.0,1.503204345703125,0.7516021728515625
83,29.36842105263158,2.5,1.999969482421875,0.79998779296875
84,29.36842105263158,3.0,1.999969482421875,0.666656494140625
85,31.94736842105263,0.10000000149011612,0.084197998046875,0.8419799679222708
86,31.94736842105263,0.5,0.536590576171875,1.07318115234375
87,31.94736842105263,1.0,0.8758544921875,0.8758544921875
88,31.94736842105263,1.5,1.60888671875,1.0725911458333333
