,Tiempo (s),Voltaje total (num),Voltaje caida sobre R 0Ohm (num),Corriente (num),Voltaje diodo (num))
0,0.0,,,-5.648421129054301e-06,-0.353668212890625
1,5.208468970546108e-05,,,-5.599931099672012e-06,-0.355072021484375
2,0.00010416937941092217,,,-5.541209229227405e-06,-0.355682373046875
3,0.00015625406911638326,,,-5.536315740023688e-06,-0.359405517578125
4,0.00020833875882184433,,,-5.522969860377187e-06,-0.3621826171875
5,0.00026042344852730544,,,-5.482042496127916e-06,-0.36309814453125
6,0.0003125081382327665,,,-5.429103840196793e-06,-0.36279296875
7,0.0003645928279382276,,,-5.425989801612609e-06,-0.364227294921875
8,0.00041667751764368866,,,-5.409974746036807e-06,-0.365631103515625
9,0.00046876220734914974,,,-5.3641538925838194e-06,-0.36724853515625
10,0.0005208468970546109,,,-5.3085460607233965e-06,-0.368682861328125
11,0.0005729315867600719,,,-5.30498715948433e-06,-0.368865966796875
12,0.000625016276465533,,,-5.293865593112245e-06,-0.3697509765625
13,0.000677100966170994,,,-5.260056031341108e-06,-0.372772216796875
14,0.0007291856558764552,,,-5.21823894178207e-06,-0.37689208984375
15,0.0007812703455819162,,,-5.227136194879738e-06,-0.377288818359375
16,0.0008333550352873773,,,-5.224022156295554e-06,-0.37738037109375
17,0.0008854397249928385,,,-5.192436907798834e-06,-0.37835693359375
18,0.0009375244146982995,,,-5.147505779655612e-06,-0.3797607421875
19,0.0009896091044037606,,,-5.150174955584913e-06,-0.37811279296875
20,0.0010416937941092217,,,-5.142612290451895e-06,-0.378265380859375
21,0.0010937784838146827,,,-5.1101373166454084e-06,-0.382476806640625
22,0.0011458631735201438,,,-5.0665407764668365e-06,-0.389617919921875
23,0.001197947863225605,,,-5.0660959138119535e-06,-0.39276123046875
24,0.001250032552931066,,,-5.057643523369169e-06,-0.389434814453125
25,0.0013021172426365272,,,-5.030951764076166e-06,-0.3724365234375
26,0.001354201932341988,,,-4.991358987791545e-06,-0.332489013671875
27,0.0014062866220474492,,,-4.9660018164631926e-06,-0.259033203125
28,0.0014583713117529104,,,-4.941534370444607e-06,-0.147796630859375
29,0.0015104560014583715,,,-4.925519314868804e-06,0.000885009765625
30,0.0015625406911638324,,,-4.916177199116254e-06,0.179473876953125
31,0.0016146253808692935,,,-4.896603242301385e-06,0.374176025390625
32,0.0016667100705747547,,,-4.880588186725583e-06,0.569549560546875
33,0.0017187947602802158,,,-4.8783638734511665e-06,0.74853515625
34,0.001770879449985677,,,-4.874804972212099e-06,0.89544677734375
35,0.0018229641396911378,,,-4.820086865661443e-06,0.99853515625
36,0.001875048829396599,,,-4.772486561588921e-06,1.060638427734375
37,0.00192713351910206,,,-4.768927660349854e-06,1.089324951171875
38,0.0019792182088075212,,,-4.809410161944242e-06,1.09442138671875
39,0.0020313028985129824,,,-4.830318706723761e-06,1.08392333984375
40,0.0020833875882184435,,,-4.843664586370263e-06,1.069793701171875
41,0.0021354722779239046,,,-4.810299887254009e-06,1.05645751953125
42,0.0021875569676293653,,,-4.649704468841108e-06,1.041229248046875
43,0.0022396416573348264,,,-4.244434590242347e-06,1.015716552734375
44,0.0022917263470402876,,,-3.601163191280977e-06,0.977783203125
45,0.0023438110367457487,,,-2.7283426623997815e-06,0.92413330078125
46,0.00239589572645121,,,-1.6326459434220117e-06,0.85235595703125
47,0.002447980416156671,,,-2.8649154974489795e-07,0.760040283203125
48,0.002500065105862132,,,1.2304901034074344e-06,0.65374755859375
49,0.0025521497955675932,,,2.8773716517857145e-06,0.53753662109375
50,0.0026042344852730544,,,4.640362353088557e-06,0.413665771484375
51,0.002656319174978515,,,6.538146438821064e-06,0.28314208984375
52,0.002708403864683976,,,8.457283931987973e-06,0.15264892578125
53,0.0027604885543894373,,,1.0276327327806122e-05,0.029144287109375
54,0.0028125732440948984,,,1.1881391786625364e-05,-0.08001708984375
55,0.0028646579338003596,,,1.320930681145226e-05,-0.16668701171875
56,0.0029167426235058207,,,1.4129727644405976e-05,-0.22796630859375
57,0.002968827313211282,,,1.4576814612563776e-05,-0.26055908203125
58,0.003020912002916743,,,1.4576814612563776e-05,-0.26397705078125
59,0.003072996692622204,,,1.4576814612563776e-05,-0.2606201171875
60,0.003125081382327665,,,1.4399314413265306e-05,-0.24652099609375
61,0.003177166072033126,,,1.418400088830175e-05,-0.233673095703125
62,0.003229250761738587,,,1.4049207503872084e-05,-0.227813720703125
63,0.003281335451444048,,,1.406967118599672e-05,-0.22589111328125
64,0.0033334201411495093,,,1.4163982068831997e-05,-0.23046875
65,0.0033855048308549704,,,1.4258292951667275e-05,-0.23883056640625
66,0.0034375895205604316,,,1.431034188228863e-05,-0.245819091796875
67,0.0034896742102658927,,,1.4358387049016036e-05,-0.2457275390625
68,0.003541758899971354,,,1.4347710345298835e-05,-0.2431640625
69,0.0035938435896768145,,,1.428409498565051e-05,-0.240692138671875
70,0.0036459282793822757,,,1.4209802922284985e-05,-0.239013671875
71,0.003698012969087737,,,1.4227152565825438e-05,-0.23681640625
72,0.003750097658793198,,,1.4254289187773323e-05,-0.23681640625
73,0.003802182348498659,,,1.4256068638392857e-05,-0.23883056640625
74,0.00385426703820412,,,1.4242277896091472e-05,-0.24127197265625
75,0.003906351727909581,,,1.4319683998041181e-05,-0.243255615234375
76,0.0039584364176150424,,,1.4355717873086734e-05,-0.243865966796875
77,0.004010521107320504,,,1.4318794272731413e-05,-0.24322509765625
78,0.004062605797025965,,,1.4253399462463557e-05,-0.242156982421875
79,0.004114690486731426,,,1.4318349410076531e-05,-0.24322509765625
