,Tiempo (s),Voltaje total (num),Voltaje caida sobre R 0Ohm (num),Corriente (num),Voltaje diodo (num))
0,0.0,,,3.2386001275510203e-06,0.405303955078125
1,5.208468970546108e-05,,,3.3342455983509476e-06,0.404754638671875
2,0.00010416937941092217,,,3.41743491481414e-06,0.4033203125
3,0.00015625406911638326,,,3.5032934072066327e-06,0.4053955078125
4,0.00020833875882184433,,,3.576250882607507e-06,0.40667724609375
5,0.00026042344852730544,,,3.6345278903972303e-06,0.405853271484375
6,0.0003125081382327665,,,3.6794590185404518e-06,0.404205322265625
7,0.0003645928279382276,,,3.728393910577624e-06,0.4061279296875
8,0.00041667751764368866,,,3.7639829229682946e-06,0.40716552734375
9,0.00046876220734914974,,,3.78311201712828e-06,0.406158447265625
10,0.0005208468970546109,,,3.788005506331997e-06,0.404388427734375
11,0.0005729315867600719,,,3.797347622084548e-06,0.406158447265625
12,0.000625016276465533,,,3.7933438581905975e-06,0.407073974609375
13,0.000677100966170994,,,3.7719904507561954e-06,0.405975341796875
14,0.0007291856558764552,,,3.738625751639942e-06,0.404022216796875
15,0.0007812703455819162,,,3.7083750911078717e-06,0.405670166015625
16,0.0008333550352873773,,,3.665668276239067e-06,0.406402587890625
17,0.0008854397249928385,,,3.6056118178298105e-06,0.405181884765625
18,0.0009375244146982995,,,3.533988930393586e-06,0.403076171875
19,0.0009896091044037606,,,3.4650352188866617e-06,0.404541015625
20,0.0010416937941092217,,,3.3831804903881196e-06,0.405181884765625
21,0.0010937784838146827,,,3.2862004316235424e-06,0.40380859375
22,0.0011458631735201438,,,3.1785436691417637e-06,0.401519775390625
23,0.001197947863225605,,,3.0722214946246354e-06,0.402740478515625
24,0.001250032552931066,,,2.953888028425656e-06,0.403076171875
25,0.0013021172426365272,,,2.8217638199252916e-06,0.4014892578125
26,0.001354201932341988,,,2.679852633017493e-06,0.399078369140625
27,0.0014062866220474492,,,2.541500347348761e-06,0.3997802734375
28,0.0014583713117529104,,,2.391581632653061e-06,0.39971923828125
29,0.0015104560014583715,,,2.2278721756559765e-06,0.39794921875
30,0.0015625406911638324,,,2.0561551908709915e-06,0.39532470703125
31,0.0016146253808692935,,,1.887107382015306e-06,0.3956298828125
32,0.0016667100705747547,,,1.7073828694424199e-06,0.39520263671875
33,0.0017187947602802158,,,1.5147573398779154e-06,0.39312744140625
34,0.001770879449985677,,,1.3154588704901604e-06,0.390350341796875
35,0.0018229641396911378,,,1.122833340925656e-06,0.389892578125
36,0.001875048829396599,,,9.235348715379009e-07,0.388580322265625
37,0.00192713351910206,,,7.148942863975948e-07,0.385772705078125
38,0.0019792182088075212,,,5.018050747084549e-07,0.382232666015625
39,0.0020313028985129824,,,2.976131161169825e-07,0.3804931640625
40,0.0020833875882184435,,,8.808280566690962e-08,0.377960205078125
41,0.0021354722779239046,,,-1.2723071929664724e-07,0.373992919921875
42,0.0021875569676293653,,,-3.394302056760204e-07,0.36895751953125
43,0.0022396416573348264,,,-5.325005978954082e-07,0.36456298828125
44,0.0022917263470402876,,,-7.113353851585277e-07,0.35821533203125
45,0.0023438110367457487,,,-8.732653915360787e-07,0.349212646484375
46,0.00239589572645121,,,-1.0080587759657433e-06,0.337738037109375
47,0.002447980416156671,,,-1.1028145214559037e-06,0.32501220703125
48,0.002500065105862132,,,-1.1713233703079445e-06,0.30975341796875
49,0.0025521497955675932,,,-1.2162544984511662e-06,0.291778564453125
50,0.0026042344852730544,,,-1.2416116697795189e-06,0.27203369140625
51,0.002656319174978515,,,-1.2478397469478863e-06,0.252044677734375
52,0.002708403864683976,,,-1.2478397469478863e-06,0.231109619140625
53,0.0027604885543894373,,,-1.2482846096027698e-06,0.209442138671875
54,0.0028125732440948984,,,-1.24961919756742e-06,0.187713623046875
55,0.0028646579338003596,,,-1.24961919756742e-06,0.16644287109375
56,0.0029167426235058207,,,-1.2513986481869533e-06,0.144927978515625
57,0.002968827313211282,,,-1.2536229614613703e-06,0.1231689453125
58,0.003020912002916743,,,-1.2549575494260204e-06,0.101409912109375
59,0.003072996692622204,,,-1.255847274735787e-06,0.079681396484375
60,0.003125081382327665,,,-1.255847274735787e-06,0.057830810546875
61,0.003177166072033126,,,-1.2531780988064868e-06,0.035888671875
62,0.003229250761738587,,,-1.25095378553207e-06,0.014251708984375
63,0.003281335451444048,,,-1.2536229614613703e-06,-0.007476806640625
64,0.0033334201411495093,,,-1.2554024120809039e-06,-0.029144287109375
65,0.0033855048308549704,,,-1.2531780988064868e-06,-0.050506591796875
66,0.0034375895205604316,,,-1.2500640602223031e-06,-0.07147216796875
67,0.0034896742102658927,,,-1.2540678241162537e-06,-0.092803955078125
68,0.003541758899971354,,,-1.255847274735787e-06,-0.114013671875
69,0.0035938435896768145,,,-1.2518435108418367e-06,-0.1346435546875
70,0.0036459282793822757,,,-1.245170571018586e-06,-0.154754638671875
71,0.003698012969087737,,,-1.2500640602223031e-06,-0.175445556640625
72,0.003750097658793198,,,-1.2518435108418367e-06,-0.195831298828125
73,0.003802182348498659,,,-1.2478397469478863e-06,-0.215240478515625
74,0.00385426703820412,,,-1.2402770818148688e-06,-0.233978271484375
75,0.003906351727909581,,,-1.2442808457088192e-06,-0.253814697265625
76,0.0039584364176150424,,,-1.2456154336734693e-06,-0.27301025390625
77,0.004010521107320504,,,-1.2407219444697522e-06,-0.290924072265625
78,0.004062605797025965,,,-1.2327144166818512e-06,-0.3079833984375
79,0.004114690486731426,,,-1.2367181805758018e-06,-0.326416015625
80,0.004166775176436887,,,-1.2384976311953352e-06,-0.344024658203125
