,frecuencia (Hz),amplitud enviada (num),amplitud leida (num),leida/enviada
1,49.99999999999999,0.10000000149011612,0.030029296875,0.3002929642752861
2,49.99999999999999,0.3107232451438904,0.09283447265625,0.2987689981586669
3,49.99999999999999,0.965489387512207,0.2882080078125,0.29850976255174644
4,49.99999999999999,3.0,0.7100830078125,0.2366943359375
5,106.20250135870641,0.10000000149011612,0.030029296875,0.3002929642752861
6,106.20250135870641,0.3107232451438904,0.09320068359375,0.29994757408828693
7,106.20250135870641,0.965489387512207,0.289520263671875,0.2998689239017808
8,106.20250135870641,3.0,0.6905517578125,0.23018391927083334
9,225.57942589692058,0.10000000149011612,0.029998779296875,0.2999877884985836
10,225.57942589692058,0.3107232451438904,0.09307861328125,0.2995547154450803
11,225.57942589692058,0.965489387512207,0.2890625,0.29939479784944323
12,225.57942589692058,3.0,0.675018310546875,0.225006103515625
13,479.1419857062785,0.10000000149011612,0.0299072265625,0.299072261168476
14,479.1419857062785,0.3107232451438904,0.0928955078125,0.2989654274802703
15,479.1419857062785,0.965489387512207,0.28857421875,0.2988890633936165
16,479.1419857062785,3.0,0.650848388671875,0.216949462890625
17,1017.7215477596858,0.10000000149011612,0.02972412109375,0.29724120650826086
18,1017.7215477596858,0.3107232451438904,0.092315673828125,0.29709934892503864
19,1017.7215477596858,0.965489387512207,0.286895751953125,0.297150601201712
20,1017.7215477596858,3.0,0.605682373046875,0.20189412434895834
21,2161.691481174657,0.10000000149011612,0.029327392578125,0.293273921411128
22,2161.691481174657,0.3107232451438904,0.090972900390625,0.2927779038497653
23,2161.691481174657,0.965489387512207,0.282623291015625,0.2927254247132278
24,2161.691481174657,3.0,0.521484375,0.173828125
25,4591.540849331112,0.10000000149011612,0.029205322265625,0.2920532183043179
26,4591.540849331112,0.3107232451438904,0.090606689453125,0.29159932792014537
27,4591.540849331112,0.965489387512207,0.28131103515625,0.2913662633631934
28,4591.540849331112,3.0,0.52606201171875,0.17535400390625
29,9752.662465792862,0.10000000149011612,0.029541015625,0.2954101518480457
30,9752.662465792862,0.3107232451438904,0.091705322265625,0.2951350557090053
31,9752.662465792862,0.965489387512207,0.2847900390625,0.29496962136095906
32,9752.662465792862,3.0,0.368316650390625,0.122772216796875
33,20715.14297548741,0.10000000149011612,0.011505126953125,0.11505126781685251
34,20715.14297548741,0.3107232451438904,0.035675048828125,0.11481293847714716
35,20715.14297548741,0.965489387512207,0.11065673828125,0.11461207105174
36,20715.14297548741,3.0,0.258575439453125,0.08619181315104167
37,44000.000000000044,0.10000000149011612,0.00018310546875,0.0018310546602151594
38,44000.000000000044,0.3107232451438904,0.00030517578125,0.0009821466080166565
39,44000.000000000044,0.965489387512207,0.000732421875,0.0007586016837401434
40,44000.000000000044,3.0,0.2520751953125,0.08402506510416667
